year;name;surname;sex;birth;death;country;contribution-sk;contribution-en
1923;John James Richard;Macleod;M;1876;1935;United Kingdom;za objav inzulínu;for the discovery of insulin
1924;Willem;Einthoven;M;1860;1927;Netherlands;za objav mechanizmu tvorby elektrokardiogramu;for the discovery of the mechanism of the electrocardiogram
1926;Johannes;Fibiger;M;1867;1928;Denmark;za objav Spiroptera carcinoma.;for his discovery of the Spiroptera carcinoma
1927;Julius;Wagner-Jauregg;M;1857;1940;Austria;za liečbu progresívnej paralýzy infekciou malárie;for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica
1928;Charles Jules Henri;Nicolle;M;1866;1936;France;za výskum škvrnitého týfusu;for his work on typhus
1929;Christiaan;Eijkman;M;1868;1930;Netherlands;za objav antineuritického vitamínu;for his discovery of the antineuritic vitamin
1929;Sir Frederick Gowland;Hopkins;M;1861;1947;United Kingdom;za objav (rast stimulujúcich) vitamínov;for his discovery of the growth-stimulating vitamins
1930;Karl;Landsteiner;M;1868;1943;Austria;za objav krvných skupín;for his discovery of human blood groups
1931;Otto Heinrich;Warburg;M;1883;1970;Germany;za výskum úlohy cytochrómov v bunkovom dýchaní;for his discovery of the nature and mode of action of the respiratory enzyme
1932;Sir Charles Scott;Sherrington;M;1857;1952;United Kingdom;za výskum funkcie neurónov vrátane zistenia, že silnejšie stimuly vedú k vyššej frekvencii nervových impulzov;for their discoveries regarding the functions of neurons
